subject,sessionIndex,rep,mean_ht,std_ht,mean_ft,std_ft,cps,mean_dist_weighted_ft,mean_p1_p3_tri,p1_p2_mean,p2_p3_mean,ht_a,ht_b,ht_c,ht_d,ht_e,ht_f,ht_g,ht_h,ht_i,ht_j,ht_k,ht_l,ht_m,ht_n,ht_o,ht_p,ht_q,ht_r,ht_s,ht_t,ht_u,ht_v,ht_w,ht_x,ht_y,ht_z,ht_0,ht_1,ht_2,ht_3,ht_4,ht_5,ht_6,ht_7,ht_8,ht_9
Background_Noise,1,1,0.1307475358022713,0.05,0.1517686644588888,0.08,4.0,0.2,0.3,0.15,0.15,0.12104652600575705,0.09252365881959188,0.09718091081864423,0.08372402488531966,0.05757898044268872,0.0920164040015666,0.08990046519343058,0.08191521730255956,0.09028590198160519,0.13299949008829517,0.11831043560712717,0.09279752771789909,0.12067370770937394,0.11591566584998948,0.14421605637166274,0.0968454027256609,0.12808358164795572,0.08055445806006672,0.1303103651527445,0.10035155442758449,0.11961105520317888,0.14107750297677155,0.10763987252558738,0.09770586876865128,0.09068904905392698,0.12546011498806697,0.13803620065757743,0.0824291312048674,0.09795231295586865,0.09945879787423942,0.11413678785385582,0.11952261186962959,0.12133351161713418,0.14258127496891054,0.07814985717517067,0.10812064367008206
Background_Noise,1,2,0.1177436685879238,0.05,0.15375913552166187,0.08,4.0,0.2,0.3,0.15,0.15,0.07172665037599339,0.11102291144106337,0.1329632961256666,0.11930060309617185,0.10817413088339695,0.09100218846144156,0.14874841690439644,0.11123995774455554,0.09145555468295721,0.09778417079527138,0.12084463475549012,0.13226145622500518,0.10707152170198118,0.07895697203004695,0.09566227944959842,0.10315837751880404,0.10756779746628625,0.11667551732131845,0.1411069352694148,0.10300828073187024,0.1043402601083195,0.09704540634510148,0.1023621435481216,0.10048709854008508,0.1147476411535679,0.14564277330376874,0.055603398831279786,0.11306687654041224,0.09475189737951123,0.1085143154509131,0.13904570214718634,0.11186998401663877,0.10740319955244101,0.11313947552540904,0.09468525382538545,0.08452309743712519
Background_Noise,1,3,0.11496734883579776,0.05,0.1489901500387737,0.08,4.0,0.2,0.3,0.15,0.15,0.11918678631087994,0.10005501084149822,0.1021492119025118,0.11603550821598885,0.10957980668731343,0.08135939888623045,0.10000391695681007,0.10426928121855641,0.08817391750713262,0.11440932745303597,0.1212735923385093,0.09954860143038899,0.10389675312045636,0.10582859673049592,0.10333987027827321,0.1091677285820316,0.09188122099007465,0.10740529216914292,0.1284357187091696,0.09268695237081781,0.13679667044134586,0.11258887860991681,0.09413473796892723,0.08627597894595153,0.136207485395198,0.1499819563889777,0.12285427725568032,0.10880024731067672,0.14011901537578228,0.13598899338471837,0.07620241169111658,0.09771147171385496,0.07966752957829562,0.10443348924561795,0.13638808074103076,0.12584746506272806
Background_Noise,1,4,0.1227948007938666,0.05,0.14882924468295577,0.08,4.0,0.2,0.3,0.15,0.15,0.06124880440461396,0.09300239537152039,0.12443767201801939,0.09742079002546085,0.09334334343339547,0.04829800806748181,0.10324651232243971,0.13245350592831676,0.08825099740402911,0.11081538685083715,0.11185710967864897,0.11852551346227451,0.08769688035258806,0.11663847500690684,0.14414513265579804,0.09581086670767036,0.14445176053625983,0.12641081605788634,0.10657507803405979,0.12676971259806374,0.14073828303479538,0.0924946468979688,0.07875078349869008,0.08539869718666412,0.11921001466245154,0.11823184669940245,0.11635534310867579,0.14411552073904335,0.12039842753375427,0.11818569575367226,0.10219926795550426,0.08669437991798834,0.14672308461613462,0.10772164451630406,0.09170819883397936,0.13576250548990598
Background_Noise,1,5,0.12516486897308557,0.05,0.13930325994318749,0.08,4.0,0.2,0.3,0.15,0.15,0.13316628094513133,0.1329928512719526,0.1204127168284162,0.09665580268069904,0.08122477228029924,0.10904112424898037,0.11495459577260529,0.1299728624161418,0.11097279544953353,0.07329652243098243,0.09952987853916667,0.09904701212105411,0.09889810710442398,0.11824117281882092,0.10802981483456839,0.11355949332081046,0.1072992889197178,0.108623238229557,0.10474138661666005,0.09880331755209178,0.11805474649277717,0.11467038456927925,0.11114315125894732,0.09446343642238987,0.08201183622678,0.12284702770891423,0.11284335608593328,0.12038328283358,0.11625709353974915,0.12135555610539299,0.12240481990598154,0.1552371434219654,0.09453153469353082,0.09898076885896029,0.12548389667214602,0.120605537815616
Background_Noise,1,6,0.11648962081335958,0.05,0.15497015172715398,0.08,4.0,0.2,0.3,0.15,0.15,0.11064153979345877,0.1028381658415913,0.07539882361709419,0.11643541241591221,0.13019065770104923,0.1024661616938586,0.12698540046975165,0.08015008990570488,0.11528007240711739,0.08874515292520145,0.08662656268273168,0.09902902440967029,0.0859864917734307,0.10169227250482178,0.15026754608790893,0.10003916933306206,0.0824076521131146,0.10125404546495925,0.11358200257378676,0.11509832976266365,0.11326452223082424,0.11754107935394406,0.13643255298687512,0.13801049529627388,0.09840219800035802,0.12691037734315924,0.09934452523910084,0.10746805715775348,0.1435058368112099,0.12361095494221261,0.10807459926459075,0.11373217622022981,0.12228833582544152,0.10618121425182478,0.10485055479958899,0.09214911122113545
Background_Noise,1,7,0.1358832135080727,0.05,0.1373563882413538,0.08,4.0,0.2,0.3,0.15,0.15,0.10300067460686367,0.12218308894731932,0.12493340408388817,0.12543734828126973,0.08691166851195824,0.11754723296844853,0.14194964726934056,0.10991019024595838,0.10628088164986113,0.06076498655953112,0.127908818506061,0.11401287038685548,0.11861616029995665,0.08785442158435906,0.11383163646200453,0.1031052015339321,0.11788229863359007,0.12558448291833998,0.09603729055585149,0.10535407707030527,0.1264983985770074,0.09586619516922577,0.10551425017121609,0.11810734841331422,0.14014485367185953,0.11202664879333352,0.11375653055668446,0.10217815576463156,0.1090609469536038,0.1266645263044705,0.11621703669840523,0.07750277798103569,0.10188164180335592,0.14444339446121268,0.11803536336082648,0.10443753439047739
Background_Noise,1,8,0.1276747450877963,0.05,0.11521048251650698,0.08,4.0,0.2,0.3,0.15,0.15,0.0843610805761152,0.14501174090305502,0.1216176945577362,0.08618851466884664,0.09778509236630223,0.1297636338143945,0.11517044326030769,0.08174976001381533,0.1220953889996404,0.12296216383780419,0.13649663643565307,0.1122131177075802,0.1025667115236611,0.09671770824288985,0.10962331532498887,0.08821605277167613,0.13030249669263347,0.07764867658755867,0.10986423933833214,0.11721930378214868,0.09898140898097682,0.12221916076979239,0.12389758785369656,0.12832028976523,0.13838305549014018,0.11080914493698245,0.1175636285159954,0.11654454604132716,0.08936617857755887,0.11760029919432251,0.11882358621328264,0.09914445372388742,0.10280520467511779,0.09454167832308336,0.11447310048916017,0.12344022421148478
Background_Noise,1,9,0.10334592537959356,0.05,0.20525941436413486,0.08,4.0,0.2,0.3,0.15,0.15,0.12795805999976181,0.09638313895680832,0.12170477569421279,0.08005034488897055,0.111941093983676,0.14083556035323186,0.09066276577436228,0.1415913053644241,0.12286763716406585,0.12609248418516295,0.13303461843119152,0.09958991508441328,0.14096475930701316,0.11898881605525566,0.11816196254914685,0.0797717455616164,0.11452918651628978,0.12716786588313778,0.11684183915498587,0.10346579984283247,0.09899414007473278,0.13367564967972867,0.09377675467844682,0.12893545513776958,0.12596868325271304,0.15029394228247572,0.08982932572037301,0.12050090742288322,0.11545656556103578,0.09864988015414834,0.14575867530392117,0.09786940540196921,0.10883662915401571,0.10487583563122342,0.13232960210204653,0.1396831578046685
Background_Noise,1,10,0.11085138009528965,0.05,0.15172107234900303,0.08,4.0,0.2,0.3,0.15,0.15,0.10244516813874434,0.1041526223201128,0.10752419340902192,0.10108201313379468,0.08522343533312675,0.16313970681915438,0.11778579259444266,0.08231200671851863,0.10252591947939842,0.148255410115533,0.13030707613560683,0.10033589579903772,0.0784332721345945,0.10358218566161333,0.13166969211096033,0.12224987146046602,0.1032419059211292,0.09843049801491796,0.1139527686118036,0.0862912771624941,0.10502279839525643,0.13270744950894842,0.15507814975128223,0.12268002715893633,0.11515226298481904,0.09989810057859504,0.10530487525344177,0.11624030876312935,0.11630806571213642,0.10343109069474016,0.09504322325842322,0.07529773402444428,0.12012134948453303,0.10565525575257928,0.15432133167069514,0.14064654749073766
